Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
,Economic family structure - The combination of relatives that comprise a family. Classification on this variable considers the presence or absence of: married spouses or common-law partners; children; and other relatives. For more information  refer to the variable 'economic family structure ' Dictionary  Census of Population  2016.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
38, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of farm statistical programs such as farm operator and farm family.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Receipts excluded from this income definition are:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Average income - The average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of families are calculated for all units  whether or not they had income.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Economic family structure - The combination of relatives that comprise a family. Classification on this variable considers the presence or absence of: married spouses or common-law partners; children; and other relatives. For more information  refer to the variable economic family structure  Dictionary  Census of Population  2016.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
39, Calculation includes persons not in economic families without income (with an income of zero).,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
40, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of farm statistical programs such as farm operator and farm family.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Receipts excluded from this income definition are:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of persons not in families are calculated for all units  whether or not they had income.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
41, Calculation includes persons not in economic families without income (with an income of zero).,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
42, Economic family after-tax income decile group - The economic family income decile group provides a rough ranking of the economic situation of a person based on his or her relative position in the Canadian distribution of the adjusted after-tax income of economic families for all persons in private households.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Using data from the 2016 Census of Population  the population in private households is sorted according to its adjusted after-tax family income and then divided into 10 equal groups each containing 10% of the population. The decile cut-points are the levels of adjusted after-tax family income that define the 10 groups.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
43, Low-income status - The income situation of the statistical unit in relation to a specific low-income line in a reference year. Statistical units with income that is below the low-income line are considered to be in low income.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
